part_num,name,part_cat_id,part_material
30367c,Brick Round 2 x 2 Dome Top - Hollow Stud with Bottom Axle Holder x Shape + Orientation,Bricks Round and Cones,Plastic
3037,Slope 45° 2 x 4,Bricks Sloped,Plastic
30373,Slope Inverted 65° 6 x 6 x 2 Quad with Cutouts,Bricks Sloped,Plastic
30374,Bar 4L (Lightsaber Blade / Wand),"Bars, Ladders and Fences",Plastic
3038,Slope 45° 2 x 3,Bricks Sloped,Plastic
3039,Slope 45° 2 x 2,Bricks Sloped,Plastic
30391,Tyre 30.4 x 14 Offset Tread,Wheels and Tyres,Plastic
30399,Support 8 x 18 x 3 Roadway Base,Baseplates,Plastic
30400,Brick 4 x 18,Bricks,Plastic
30401,"Baseplate Ramp 32 x 16 Straight, Road",Baseplates,Plastic
3040a,Slope 45° 2 x 1 without Bottom Pin,Bricks Sloped,Plastic
3040b,Slope 45° 2 x 1 with Bottom Pin,Bricks Sloped,Plastic
3041,Slope 45° 2 x 4 Double,Bricks Sloped,Plastic
30414,Brick Special 1 x 4 with 4 Studs on One Side,Bricks Special,Plastic
3042,Slope 45° 2 x 3 Double,Bricks Sloped,Plastic
3043,Slope 45° 2 x 2 Double,Bricks Sloped,Plastic
3044a,Slope 45° 2 x 1 Double without Bottom Pin,Bricks Sloped,Plastic
3044b,Slope 45° 2 x 1 Double with Ovoid Bottom Pin,Bricks Sloped,Plastic
3044c,Slope 45° 2 x 1 Double with Inside Stud Holder,Bricks Sloped,Plastic
3045,Slope 45° 2 x 2 Double Convex,Bricks Sloped,Plastic
30477,"Baseplate Ramp 16 x 32 Inclined, Road [PLAIN]",Baseplates,Plastic
30489,Sports Field Section 8 x 16,Baseplates,Plastic
3048a,Slope 45° 2 x 1 Triple with Hollow Underside,Bricks Sloped,Plastic
3048b,Slope 45° 2 x 1 Triple Smooth,Bricks Sloped,Plastic
30492,Sports Field Section 8 x 8,Baseplates,Plastic
3049a,Slope 45° 2 x 1 Double / Inverted with Bottom Tube,Bricks Sloped,Plastic
3049c,Slope 45° 2 x 1 Double / Inverted with Hollow Bottom,Bricks Sloped,Plastic
3049d,Slope 45° 2 x 1 Double / Inverted with Bottom Stud Holder,Bricks Sloped,Plastic
30503,Wedge Plate 4 x 4 Cut Corner,Plates Angled,Plastic
30504,Wedge Plate 8 x 8 Cut Corner,Plates Angled,Plastic
30520,Brick Special 2 x 8 with Axle hole at each End,Bricks Special,Plastic
30526,"Brick Special 1 x 2 with 2 Pins, Round Pin Holes",Bricks Special,Plastic
30528,Brick Arch 1 x 8 x 6 [Portal],Bricks Curved,Plastic
30535,Engine 2 x 4 x 4,Bricks Special,Plastic
30562,Panel 4 x 4 x 6 Quarter Cylinder,Panels,Plastic
30565,Plate Round Corner 4 x 4,Plates Round Curved and Dishes,Plastic
30586,Plate Special 2 x 8 with Door Rail,Plates Special,Plastic
3058a,Plate Special 6 x 16 with Motor Cutout Narrow,Plates Special,Plastic
3058b,Plate Special 6 x 16 with Motor Cutout Wide,Plates Special,Plastic
30592,"Brick Special 2 x 4, with 2 x 2 Brick with Top Pin and 1 x 2 Side Plates",Bricks Special,Plastic
30601,Brick Sloped 2 x 2 No Studs with Angled Side Block Extensions,Bricks Sloped,Plastic
30602,"Slope Curved 2 x 2 with Lip, No Studs",Bricks Curved,Plastic
30603,"Slope 2 x 2 No Studs, with 3 Side Pistons Raised Edges",Bricks Sloped,Plastic
30613,Brick Arch 3 x 6 x 5 Ornamented,Bricks Special,Plastic
30614,Roof Piece 6 x 6 x 3 Peaked,Bricks Sloped,Plastic
3062a,Brick Round 1 x 1 Solid Stud,Bricks Round and Cones,Plastic
3062b,Brick Round 1 x 1 Open Stud,Bricks Round and Cones,Plastic
3063a,Brick Round Corner 2 x 2 Macaroni without Stud Notch,Bricks Round and Cones,Plastic
3063b,Brick Round Corner 2 x 2 Macaroni with Stud Notch,Bricks Round and Cones,Plastic
30645,Brick Special 12 x 12 Base with 4 Corner Pegs,Bricks Special,Plastic
30648,Tyre 24 x 14 Shallow Tread (Tread Small Hub),Wheels and Tyres,Rubber
3065,Brick 1 x 2 without Bottom Tube,Bricks,Plastic
30650,Panel 2 x 8 x 8,Panels,Plastic
3066,Brick 1 x 4 without Bottom Tubes,Bricks,Plastic
3067,Brick 1 x 6 with No Bottom Tubes,Bricks,Plastic
3068a,Tile 2 x 2 without Groove,Tiles,Plastic
3068b,Tile 2 x 2 with Groove,Tiles,Plastic
